zipcode,city,county_name,rent_amount
95020,Gilroy,Santa Clara County,3480.722222222222
02148,Malden,Middlesex County,2676.0444444444443
85301,Glendale,Maricopa County,1392.1358585858586
33463,Greenacres,Palm Beach County,2672.6666666666665
42101,Bowling Green,Warren County,1213.75
33033,Homestead,Miami-Dade County,2396.4960113960115
98682,Vancouver,Clark County,1759.4208180880007
21740,Hagerstown,Washington County,1185.7301587301588
20878,Gaithersburg,Montgomery County,2321.118804347826
87120,Albuquerque,Bernalillo County,1650.605753968254
29072,Lexington,Lexington County,1710.4419191919194
92404,San Bernardino,San Bernardino County,1791.4722222222224
23322,Chesapeake,Chesapeake City,2191.1666666666665
19143,Philadelphia,Philadelphia County,1426.3461538461536
90022,East Los Angeles,Los Angeles County,1890.0
30135,Douglasville,Douglas County,1900.8009259259256
85383,Peoria,Maricopa County,2479.7897435897435
91761,Ontario,San Bernardino County,2552.7063492063494
91977,Spring Valley,San Diego County,2822.671957671957
75043,Garland,Dallas County,1451.1702458761283
92677,Laguna Niguel,Orange County,3321.9815880893298
80219,Denver,Denver County,2090.419191919192
85308,Glendale,Maricopa County,1924.859523809524
32808,Pine Hills,Orange County,1825.0416666666667
92630,Lake Forest,Orange County,2921.166081871345
95758,Elk Grove,Sacramento County,2507.66746031746
40475,Richmond,Madison County,1018.7996031746032
77521,Baytown,Harris County,1401.4007936507935
92346,Highland,San Bernardino County,2549.5666666666666
38401,Columbia,Maury County,1729.4589743589745
08753,Toms River,Ocean County,2612.083333333333
30188,Woodstock,Cherokee County,2233.7791666666667
32244,Jacksonville,Duval County,1713.3609719356846
20019,Washington,District of Columbia,1988.6623931623933
37122,Mount Juliet,Wilson County,2393.337962962963
90731,Los Angeles,Los Angeles County,2551.833086552699
75040,Garland,Dallas County,1753.85
77072,Houston,Harris County,1725.9722222222224
27406,Greensboro,Guilford County,1400.195238095238
95206,Stockton,San Joaquin County,2457.333333333333
60402,Berwyn,Cook County,1470.361111111111
95608,Carmichael,Sacramento County,1905.972222222222
60651,Chicago,Cook County,1413.2916666666667
33313,Lauderhill,Broward County,2006.106442577031
30062,Marietta,Cobb County,2211.14477124183
91343,Los Angeles,Los Angeles County,2788.0
78249,San Antonio,Bexar County,1647.7692478192478
84404,Ogden,Weber County,1702.5833333333333
92201,Indio,Riverside County,2399.6031746031745
28215,Charlotte,Mecklenburg County,1939.5404761904765
92562,Murrieta,Riverside County,2618.2273504273503
31907,Columbus,Muscogee County,1190.6705882352942
77373,Spring,Harris County,1725.648616734143
77386,Spring,Montgomery County,1916.430803764137
10024,New York,New York County,3833.9953703703695
32818,Orlando,Orange County,2054.573412698413
29445,Goose Creek,Berkeley County,1900.6666666666667
94806,Richmond,Contra Costa County,3002.527777777778
48180,Taylor,Wayne County,1308.888888888889
75150,Mesquite,Dallas County,1474.6299603174605
44035,Elyria,Lorain County,989.9841269841268
92392,Victorville,San Bernardino County,2201.462962962963
37128,Murfreesboro,Rutherford County,2060.153882915173
22407,Fredericksburg,Spotsylvania County,1891.7129629629628
92627,Costa Mesa,Orange County,3404.721097615835
96818,Honolulu,Honolulu County,2311.1111111111118
94015,Daly City,San Mateo County,3039.0416666666665
89123,Las Vegas,Clark County,1886.5712331649831
93309,Bakersfield,Kern County,1519.0376984126983
33027,Miramar,Broward County,2905.4679487179487
60619,Chicago,Cook County,1102.5518518518518
10032,New York,New York County,2647.1922398589068
85041,Phoenix,Maricopa County,2247.778867102397
23456,Virginia Beach,Virginia Beach City,2389.333333333333
75056,The Colony,Denton County,1978.394998704509
43026,Hilliard,Franklin County,1851.559523809524
90640,Montebello,Los Angeles County,2124.8888888888887
20874,Germantown,Montgomery County,2036.6780701754385
92020,El Cajon,San Diego County,2248.918181818182
77396,Humble,Harris County,1653.7243589743591
74012,Broken Arrow,Tulsa County,1492.6851851851852
94501,Alameda,Alameda County,2705.685606060606
95127,San Jose,Santa Clara County,3135.833333333333
60638,Chicago,Cook County,1340.9722222222224
11550,Hempstead,Nassau County,3243.0
85345,Peoria,Maricopa County,1793.3209064327486
34744,Kissimmee,Osceola County,2240.511847801321
78640,Kyle,Hays County,1802.9285714285716
90660,Pico Rivera,Los Angeles County,2210.6666666666665
21117,Owings Mills,Baltimore County,1871.481143162393
95014,Cupertino,Santa Clara County,3670.5534188034185
77375,Tomball,Harris County,1819.771686159844
11216,New York,Kings County,3279.4943899214745
89148,Las Vegas,Clark County,1984.281153104324
92115,San Diego,San Diego County,2771.1875
43130,Lancaster,Fairfield County,1487.0
95828,,Sacramento County,2175.4166666666665
33178,Doral,Miami-Dade County,3122.674846872985
37129,Murfreesboro,Rutherford County,1881.617216117216
29681,Simpsonville,Greenville County,1835.769023569024
08854,Piscataway,Middlesex County,2602.0858585858587
10701,Yonkers,Westchester County,2597.7497354497355
19149,Philadelphia,Philadelphia County,1635.2777777777776
10023,New York,New York County,4393.669459141681
37064,Franklin,Williamson County,2464.9299516908213
93313,Bakersfield,Kern County,2209.027777777778
07093,West New York,Hudson County,2772.962289562289
92571,Perris,Riverside County,2905.444444444445
30331,Atlanta,Fulton County,1833.5777777777776
02155,Medford,Middlesex County,3318.798297621524
78745,Austin,Travis County,1767.4358387799564
44060,Mentor,Lake County,1318.3333333333333
10950,Monroe,Orange County,2625.0
30144,Kennesaw,Cobb County,1865.877104377104
90019,Los Angeles,Los Angeles County,2735.6851851851848
27703,Durham,Durham County,1868.8639553429027
77077,Houston,Harris County,1404.7177381605
91702,Azusa,Los Angeles County,2688.7341269841268
92324,Colton,San Bernardino County,1932.9444444444448
78253,San Antonio,Bexar County,1775.7913780663778
93291,Visalia,Tulare County,2074.1666666666665
30101,Acworth,Cobb County,2094.10582010582
10033,New York,New York County,2610.541394335512
85033,Phoenix,Maricopa County,1588.3888888888887
06010,Bristol,Hartford County,1520.428571428571
29485,Summerville,Dorchester County,1955.055555555556
75227,Dallas,Dallas County,1706.1309523809523
11238,New York,Kings County,3792.019234972677
37130,Murfreesboro,Rutherford County,1558.2200435729849
28173,Waxhaw,Union County,2506.378787878788
20147,Ashburn,Loudoun County,2339.0437500000003
48823,East Lansing,Ingham County,1665.324074074074
75071,McKinney,Collin County,2161.0984126984126
23320,Chesapeake,Chesapeake City,1777.7609710550887
95051,Santa Clara,Santa Clara County,3300.519095079892
92647,Huntington Beach,Orange County,2719.244090909091
07047,North Bergen Township,Hudson County,2930.933333333333
21122,Pasadena,Anne Arundel County,2212.5930735930738
07002,Bayonne,Hudson County,2152.5198462048666
11435,New York,Queens County,2332.5740740740744
78501,McAllen,Hidalgo County,1204.2391534391534
07111,Irvington,Essex County,1812.5531135531137
77406,Richmond,Fort Bend County,1866.6795321637428
32825,Orlando,Orange County,1994.0204761904763
94568,Dublin,Alameda County,3132.019204840395
02151,Revere,Suffolk County,2603.6905555555554
78504,McAllen,Hidalgo County,1673.2380952380952
92530,Lake Elsinore,Riverside County,2303.904761904762
95111,San Jose,Santa Clara County,3102.777777777778
94122,San Francisco,San Francisco County,3464.4166666666665
95355,Modesto,Stanislaus County,2336.5
43230,Gahanna,Franklin County,1609.3969696969696
65203,Columbia,Boone County,1070.327380952381
92071,Santee,San Diego County,3106.2886363636367
10031,New York,New York County,2967.860826210826
19720,New Castle,New Castle County,1560.4444444444443
78251,San Antonio,Bexar County,1338.7699603174603
19134,Philadelphia,Philadelphia County,1301.3968253968253
30083,Stone Mountain,Dekalb County,1596.6797979797975
73160,Moore,Cleveland County,1483.7303030303028
79924,El Paso,El Paso County,1346.2261904761906
60505,Aurora,Kane County,1564.0
80016,Aurora,Arapahoe County,2164.477619047619
90004,Los Angeles,Los Angeles County,2373.3650028296547
37040,Clarksville,Montgomery County,1375.353418803419
98208,Everett,Snohomish County,2087.7528659611994
30906,Augusta,Richmond County,1319.9537037037037
94087,Sunnyvale,Santa Clara County,3502.574761904761
78664,Round Rock,Williamson County,1943.8362597547384
11225,New York,Kings County,3012.0068670792807
70726,Denham Springs,Livingston Parish,1423.0833333333333
65807,Springfield,Greene County,1424.563492063492
92027,Escondido,San Diego County,2710.0
22192,Woodbridge,Prince William County,2026.795029239766
43228,Lincoln Village,Franklin County,1267.328282828283
78681,Round Rock,Williamson County,2122.401470588235
91770,Rosemead,Los Angeles County,2749.444444444445
10128,New York,New York County,3540.3754794035426
85008,Phoenix,Maricopa County,1621.9976531153
60453,Oak Lawn,Cook County,1858.3333333333333
10473,New York,Bronx County,2662.5
32771,Sanford,Seminole County,1856.3773946360157
76137,Fort Worth,Tarrant County,1922.669191919192
15601,Greensburg,Westmoreland County,1087.5
53215,Milwaukee,Milwaukee County,827.1111111111112
92570,Perris,Riverside County,2325.0
30253,McDonough,Henry County,1982.1387961933008
21222,Dundalk,Baltimore County,1440.9694564694564
90042,Los Angeles,Los Angeles County,2827.4615384615386
92507,Riverside,Riverside County,2440.2204761904763
83301,Twin Falls,Twin Falls County,1576.8055555555554
77015,Houston,Harris County,1156.515873015873
30066,Marietta,Cobb County,1921.877192982456
80504,Longmont,Weld County,2351.2203083466243
92584,Menifee,Riverside County,3102.6317460317464
19446,Lansdale,Montgomery County,1925.8636363636365
22003,Annandale,Fairfax County,2261.211111111111
77070,Houston,Harris County,1437.6668482207697
22554,Stafford,Stafford County,2206.6502525252527
37167,Smyrna,Rutherford County,2047.0490196078435
28227,Mint Hill,Mecklenburg County,1851.099134199134
60016,Des Plaines,Cook County,1786.6951566951568
