created_at,tree_id,block_id,the_geom,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
08/29/2015,185164,339797,"{'type': 'Point', 'coordinates': [-73.796739944405, 40.590642997214154]}",4,0,OnCurb,Alive,Fair,Liquidambar styraciflua,sweetgum,3or4,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,306 BEACH 68 STREET,11692,Arverne,414,4,Queens,31,31,15,QN12,Hammels-Arverne-Edgemere,4095400,New York,40.590643,-73.79673994,1040702.51438,154529.082068
08/22/2015,165625,216071,"{'type': 'Point', 'coordinates': [-73.9481526243999, 40.72606120823322]}",11,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,107 NEWEL STREET,11222,Brooklyn,301,3,Brooklyn,33,50,26,BK76,Greenpoint,3057100,New York,40.72606121,-73.94815262,998620.66252,203804.48122
08/27/2015,181202,226310,"{'type': 'Point', 'coordinates': [-73.95725929221062, 40.676075325406366]}",4,0,OffsetFromCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,532 ST MARKS AVENUE,11238,Brooklyn,308,3,Brooklyn,35,57,25,BK61,Crown Heights North,3030500,New York,40.67607533,-73.95725929,996105.43133,185591.773879
08/28/2015,183359,226313,"{'type': 'Point', 'coordinates': [-73.95581738043795, 40.67640772269089]}",10,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,1or2,Harmful,Damage,TreesCount Staff,"Stones,RootOther",Yes,No,Yes,No,No,No,No,No,No,643 FRANKLIN AVENUE,11216,Brooklyn,308,3,Brooklyn,35,57,25,BK61,Crown Heights North,3022100,New York,40.67640772,-73.95581738,996505.328168,185713.074162
08/14/2015,145055,101051,"{'type': 'Point', 'coordinates': [-73.99597273594627, 40.7175101380143]}",1,0,OnCurb,Alive,Poor,Styphnolobium japonicum,Sophora,None,Helpful,NoDamage,NYC Parks Staff,"RootOther,TrunkOther,BranchOther",No,No,Yes,No,No,Yes,No,No,Yes,157 HESTER STREET,10013,New York,102,1,Manhattan,1,65,26,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1004100,New York,40.71751014,-73.99597274,985366.389816,200684.835885
08/22/2015,167230,348637,"{'type': 'Point', 'coordinates': [-73.86131974582419, 40.722244661861886]}",13,0,OnCurb,Alive,Fair,Styphnolobium japonicum,Sophora,None,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,64-024 BOELSEN CRESCENT,11374,Rego Park,406,4,Queens,29,28,15,QN18,Rego Park,4069702,New York,40.72224466,-73.86131975,1022690.52908,202440.171285
08/26/2015,178930,345360,"{'type': 'Point', 'coordinates': [-73.90344945218123, 40.70687246026798]}",18,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,1or2,Harmful,Damage,Volunteer,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,2046 PALMETTO STREET,11385,Ridgewood,405,4,Queens,30,37,12,QN20,Ridgewood,4058900,New York,40.70687246,-73.90344945,1011018.85065,196823.934158
08/27/2015,180333,303332,"{'type': 'Point', 'coordinates': [-73.92842894819353, 40.74040845148154]}",5,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,37-001 48 AVENUE,11101,Long Island City,402,4,Queens,26,37,12,QN31,Hunters Point-Sunnyside-West Maspeth,4018900,New York,40.74040845,-73.92842895,1004083.24969,209035.481257
08/25/2015,172663,349995,"{'type': 'Point', 'coordinates': [-73.74664284363496, 40.59570646587395]}",12,0,OnCurb,Alive,Fair,Styphnolobium japonicum,Sophora,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2-007 BEACH 13 STREET,11691,Far Rockaway,414,4,Queens,31,23,15,QN15,Far Rockaway-Bayswater,4101001,New York,40.59570647,-73.74664284,1054610.88256,156410.088477
09/08/2015,208791,107179,"{'type': 'Point', 'coordinates': [-73.96078214339691, 40.76395531024252]}",5,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,320 EAST 65 STREET,10065,New York,108,1,Manhattan,5,76,28,MN31,Lenox Hill-Roosevelt Island,1011800,New York,40.76395531,-73.96078214,995113.927407,217608.692785
09/08/2015,208793,107179,"{'type': 'Point', 'coordinates': [-73.96047463434878, 40.763825687430476]}",4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Harmful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,330 EAST 65 STREET,10065,New York,108,1,Manhattan,5,76,28,MN31,Lenox Hill-Roosevelt Island,1011800,New York,40.76382569,-73.96047463,995199.133274,217561.505215
09/01/2015,194260,102855,"{'type': 'Point', 'coordinates': [-73.98224174340228, 40.720688102388486]}",4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,339 EAST HOUSTON STREET,10002,New York,103,1,Manhattan,2,74,26,MN28,Lower East Side,1002201,New York,40.7206881,-73.98224174,989172.496049,201843.139014
08/29/2015,184166,505595,"{'type': 'Point', 'coordinates': [-73.89295364399136, 40.857481998421285]}",2,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,442 EAST 186 STREET,10458,Bronx,206,2,Bronx,15,78,33,BX01,Claremont-Bathgate,2038500,New York,40.857482,-73.89295364,1013861.77968,251699.459249
08/30/2015,188408,340716,"{'type': 'Point', 'coordinates': [-73.8896228441087, 40.74912138530947]}",10,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,3or4,Helpful,NoDamage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,76-002 37 AVENUE,11372,Jackson Heights,403,4,Queens,25,39,13,QN28,Jackson Heights,4028700,New York,40.74912139,-73.88962284,1014832.91061,212221.047064
08/22/2015,165046,412972,"{'type': 'Point', 'coordinates': [-74.18409535660193, 40.5501769140859]}",6,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,NoDamage,TreesCount Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,83 STAFFORD AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI48,Arden Heights,5017008,New York,40.55017691,-74.18409536,933089.209265,139774.555803
09/01/2015,194919,227482,"{'type': 'Point', 'coordinates': [-73.97144407409905, 40.61227656871346]}",12,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1567 EAST 3 STREET,11230,Brooklyn,312,3,Brooklyn,44,48,22,BK46,Ocean Parkway South,3044000,New York,40.61227657,-73.97144407,992178.429341,162346.543795
09/03/2015,200201,406819,"{'type': 'Point', 'coordinates': [-74.18913181498976, 40.588681667285066]}",11,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,118 ALBERTA AVENUE,10314,Staten Island,502,5,Staten Island,50,63,24,SI05,New Springville-Bloomfield-Travis,5029102,New York,40.58868167,-74.18913181,931719.849143,153805.733121
09/03/2015,200210,406819,"{'type': 'Point', 'coordinates': [-74.18811274872097, 40.58804692267144]}",8,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,152 ALBERTA AVENUE,10314,Staten Island,502,5,Staten Island,50,63,24,SI05,New Springville-Bloomfield-Travis,5029102,New York,40.58804692,-74.18811275,932002.391229,153573.870724
08/27/2015,181351,302224,"{'type': 'Point', 'coordinates': [-73.90396581017892, 40.778173089545945]}",17,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,None,Damage,Volunteer,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,35-015 20 AVENUE,11105,Astoria,401,4,Queens,22,36,13,QN72,Steinway,4010701,New York,40.77817309,-73.90396581,1010847.21025,222800.851364
08/25/2015,174172,408885,"{'type': 'Point', 'coordinates': [-74.08802745932843, 40.58451588370911]}",5,0,OnCurb,Alive,Fair,Pyrus calleryana,Callery pear,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,440 SEAVIEW AVENUE,10305,Staten Island,502,5,Staten Island,50,64,24,SI36,Old Town-Dongan Hills-South Beach,5011201,New York,40.58451588,-74.08802746,959799.396658,152243.609605
