tree_id,spc_common,health,zipcode,status,latitude,longitude
196020,honeylocust,Good,10468,Alive,40.86998754,-73.90162551
205829,honeylocust,Good,11234,Alive,40.63056031,-73.9241548
208820,honeylocust,Good,10065,Alive,40.76436461,-73.95955458
178606,honeylocust,Good,10016,Alive,40.74780138,-73.97857966
200673,London planetree,Good,11230,Alive,40.6244214,-73.96036845
186501,honeylocust,Good,10458,Alive,40.85705393,-73.88745706
197897,American linden,Good,11223,Alive,40.60961592,-73.96487682
199051,crab apple,Good,10023,Alive,40.76996828,-73.98212294
200406,honeylocust,Good,10314,Alive,40.59837239,-74.16253586
189459,honeylocust,Good,11205,Alive,40.69543462,-73.96835285
189460,honeylocust,Good,11205,Alive,40.69528272,-73.96832203
189709,honeylocust,Good,11217,Alive,40.67530269,-73.9733763
208761,honeylocust,Good,10065,Alive,40.76307992,-73.96064456
190395,honeylocust,Good,10021,Alive,40.76963905,-73.96012717
187234,ginkgo,Good,11217,Alive,40.68606021,-73.97628864
205785,ginkgo,Good,10023,Alive,40.78017187,-73.9833793
201410,ginkgo,Good,10002,Alive,40.72311463,-73.9903307
208760,ginkgo,Good,10065,Alive,40.76299829,-73.96045231
208763,honeylocust,Good,10065,Alive,40.76313613,-73.96077693
189626,ginkgo,Good,11217,Alive,40.67490334,-73.97505728
190394,honeylocust,Good,10021,Alive,40.76960162,-73.96003888
200471,ginkgo,Good,10036,Alive,40.75757044,-73.98285452
179834,ginkgo,Good,10002,Alive,40.72206573,-73.99110017
180251,honeylocust,Good,10023,Alive,40.76964206,-73.98370686
209063,honeylocust,Fair,10306,Alive,40.55918278,-74.10593025
201590,honeylocust,Fair,11694,Alive,40.58211738,-73.82864619
187054,honeylocust,Good,10023,Alive,40.77046435,-73.98179161
201811,honeylocust,Fair,11694,Alive,40.58306474,-73.82538142
208863,honeylocust,Good,11205,Alive,40.69153074,-73.96062867
195995,honeylocust,Fair,10016,Alive,40.74486653,-73.98598251
190386,honeylocust,Good,10021,Alive,40.76916627,-73.95901189
208819,honeylocust,Good,10065,Alive,40.76432442,-73.95945923
200697,American linden,Good,11222,Alive,40.72286388,-73.94759301
189599,American linden,Good,11215,Alive,40.66972377,-73.97268165
187229,honeylocust,Fair,10017,Alive,40.75235028,-73.97971637
192892,ginkgo,Good,11229,Alive,40.60963578,-73.94855771
